,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff
9853,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.83,17.5,0,925,decorative,115.62
9854,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.87,17.0,0,925,decorative,118.11
9855,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.8,17.0,0,925,decorative,113.76
9856,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.75,16.5,0,925,decorative,110.55
9858,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.82,17.0,0,925,decorative,114.99
9860,silver,None,1.42,17.0,0,925,engagement,100.52
9861,silver,None,1.47,17.5,0,925,engagement,104.08
9862,silver,None,1.49,18.0,0,925,engagement,105.4
9863,silver,None,1.37,16.0,0,925,engagement,96.97
9864,silver,None,1.52,18.5,1,925,engagement,107.54
9865,silver,None,1.52,18.5,0,925,engagement,107.54
9866,silver,None,1.38,16.0,0,925,engagement,97.68
9867,silver,None,1.55,18.5,0,925,engagement,109.66
9868,silver,"2 Гранат Овал 4*3; 2 Гранат Груша 4*3; 2 Гранат Круг 2; 1 Гранат Круг 2,5; 2 Гранат Маркиз 4*2",1.53,17.0,0,925,decorative,947.77
9869,gold,None,1.37,15.0,0,585,engagement,651.86
9870,gold,None,1.35,16.0,0,585,engagement,669.87
9871,gold,None,1.39,17.0,0,585,engagement,991.32
9872,gold,None,1.4,16.5,1,585,engagement,998.47
9873,gold,None,1.42,16.5,0,585,engagement,1012.74
9874,gold,None,1.42,16.5,1,585,engagement,1012.74
9875,gold,None,1.42,17.0,0,585,engagement,1012.74
9877,gold,None,1.43,17.0,0,585,engagement,1019.89
9880,gold,None,1.44,16.5,0,585,engagement,1027.02
9882,gold,None,1.45,16.5,0,585,engagement,1034.17
9883,gold,None,1.47,16.5,0,585,engagement,1048.39
9884,gold,"2 Фианит бесцветный Круг 1,25; 2 Фианит бесцветный Круг 2; 1 Хризолит Круг 6",1.71,17.5,0,585,decorative,707.2
9885,gold,"2 Фианит бесцветный Круг 1,25; 2 Фианит бесцветный Круг 2; 1 Хризолит Круг 6",1.8,17.0,0,585,decorative,916.85
9886,gold,"2 Фианит бесцветный Круг 1,25; 2 Фианит бесцветный Круг 2; 1 Хризолит Круг 6",1.8,18.5,0,585,decorative,916.85
9888,silver,1 Фианит б/ц Круг 6,1.75,18.0,0,925,engagement,256.41
9889,silver,1 Фианит б/ц Круг 6,1.66,17.5,0,925,engagement,77.34
9890,silver,1 Фианит б/ц Круг 6,1.65,17.5,0,925,engagement,76.91
9891,silver,1 Фианит б/ц Круг 6,1.73,18.0,0,925,engagement,80.64
9892,silver,1 Фианит б/ц Круг 6,1.74,17.5,0,925,engagement,81.07
9893,silver,1 Фианит б/ц Круг 6,1.81,18.5,0,925,engagement,84.36
9895,silver,1 Фианит б/ц Круг 6,1.67,18.0,0,925,engagement,77.87
9897,gold,1 Гранат Овал 7*5; 4 Фианит б/ц Круг 1,1.96,17.5,0,585,decorative,893.58
9898,gold,1 Гранат Овал 7*5; 4 Фианит б/ц Круг 1,2.0,18.0,0,585,decorative,985.42
9899,gold,1 Гранат Овал 7*5; 4 Фианит б/ц Круг 1,1.83,17.5,0,585,decorative,932.13
9900,gold,1 Гранат Овал 7*5; 4 Фианит б/ц Круг 1,1.96,18.0,0,585,decorative,1488.03
9901,gold,1 Гранат Овал 7*5; 4 Фианит б/ц Круг 1,1.8,17.0,0,585,decorative,1366.54
9902,gold,1 Гранат Овал 7*5; 4 Фианит б/ц Круг 1,1.74,17.5,0,585,decorative,1254.57
