артикул;материал;вес;размер;есть_дефект;проба;тип;цена_до_скидки
П7412-001К14;Золото;2.35;19,5;0;585;obruchalnye;1342.86
П7412-001К14;Золото;2.39;19,5;0;585;obruchalnye;1365.72
П7412-001К14;Золото;2.41;20;0;585;obruchalnye;1377.15
П7412-001К14;Золото;2.58;20,5;0;585;obruchalnye;1474.29
П7412-001К14;Золото;2.62;21;0;585;obruchalnye;1497.15
П7412-001К14;Золото;2.65;20,5;0;585;obruchalnye;1514.29
П7412-001К14;Золото;2.67;21;0;585;obruchalnye;1525.72
П7412-001К14;Золото;1.75;17;0;585;obruchalnye;1000
П7412-001К14;Золото;1.78;17;0;585;obruchalnye;1017.15
П7412-001К14;Золото;1.81;17;0;585;obruchalnye;1034.29
П7412-001К14;Золото;1.81;17;0;585;obruchalnye;1034.29
